Date, Open , High , Low ,Close, Volume 
7/6/2021," $2,197.92 "," $2,346.29 "," $2,197.92 ",2324.679443," 20,891,861,314 "
7/7/2021," $2,323.21 "," $2,403.77 "," $2,298.03 ",2315.161865," 22,398,345,285 "
7/8/2021," $2,317.95 "," $2,324.01 "," $2,089.41 ",2120.026367," 23,188,123,689 "
7/9/2021," $2,115.57 "," $2,185.38 "," $2,051.07 ",2146.692383," 23,029,574,602 "
7/10/2021," $2,147.00 "," $2,190.12 "," $2,081.92 ",2111.403564," 17,581,542,471 "
7/11/2021," $2,110.88 "," $2,172.65 "," $2,083.80 ",2139.664795," 14,705,386,138 "
7/12/2021," $2,140.51 "," $2,167.71 "," $2,011.02 ",2036.721069," 17,768,129,077 "
7/13/2021," $2,034.10 "," $2,040.69 "," $1,922.58 ",1940.083984," 16,621,628,658 "
7/14/2021," $1,941.17 "," $2,015.11 "," $1,869.22 ",1994.331299," 17,342,819,679 "
7/15/2021," $1,994.71 "," $2,037.74 "," $1,883.27 ",1911.175659," 15,688,092,552 "
7/16/2021," $1,916.60 "," $1,959.70 "," $1,853.59 ",1880.382935," 14,884,569,147 "
7/17/2021," $1,876.88 "," $1,917.60 "," $1,855.59 ",1898.825195," 13,364,282,076 "
7/18/2021," $1,900.19 "," $1,988.34 "," $1,883.01 ",1895.552124," 13,791,868,728 "
7/19/2021," $1,893.05 "," $1,916.12 "," $1,807.91 ",1817.296631," 14,157,735,481 "
7/20/2021," $1,819.08 "," $1,837.00 "," $1,722.05 ",1787.510742," 17,368,597,636 "
7/21/2021," $1,786.28 "," $2,025.68 "," $1,759.02 ",1990.970825," 21,253,359,756 "
7/22/2021," $1,994.82 "," $2,044.12 "," $1,954.30 ",2025.202759," 17,495,480,331 "
7/23/2021," $2,025.11 "," $2,129.44 "," $2,000.44 ",2124.776611," 16,200,392,492 "
7/24/2021," $2,123.96 "," $2,197.65 "," $2,107.32 ",2189.21875," 16,057,446,601 "
7/25/2021," $2,187.15 "," $2,194.44 "," $2,108.83 ",2191.373779," 14,566,483,636 "
7/26/2021," $2,191.31 "," $2,428.82 "," $2,177.33 ",2233.366699," 29,614,324,233 "
7/27/2021," $2,230.20 "," $2,316.95 "," $2,154.73 ",2298.333496," 23,067,480,378 "
7/28/2021," $2,302.08 "," $2,341.78 "," $2,250.91 ",2296.54541," 18,991,302,378 "
7/29/2021," $2,299.01 "," $2,396.45 "," $2,273.40 ",2380.956787," 16,313,373,113 "
7/30/2021," $2,382.55 "," $2,469.70 "," $2,322.34 ",2466.961426," 20,212,848,934 "
7/31/2021," $2,461.58 "," $2,551.16 "," $2,423.82 ",2536.209961," 18,001,710,283 "
8/1/2021," $2,530.46 "," $2,695.43 "," $2,520.93 ",2561.852051," 22,697,987,055 "
8/2/2021," $2,557.77 "," $2,665.73 "," $2,511.38 ",2610.15332," 22,162,754,104 "
8/3/2021," $2,609.41 "," $2,630.31 "," $2,449.35 ",2502.349609," 22,696,753,413 "
